;fl_date;mkt_unique_carrier;branded_code_share;mkt_carrier;mkt_carrier_fl_num;op_unique_carrier;tail_num;op_carrier_fl_num;origin_airport_id;origin;origin_city_name;dest_airport_id;dest;dest_city_name;crs_dep_time;dep_time;dep_delay;taxi_out;wheels_off;wheels_on;taxi_in;crs_arr_time;arr_time;arr_delay;cancelled;cancellation_code;diverted;dup;crs_elapsed_time;actual_elapsed_time;air_time;flights;distance;carrier_delay;weather_delay;nas_delay;security_delay;late_aircraft_delay;first_dep_time;total_add_gtime;longest_add_gtime;no_name
409760;2018-12-31;AS;AS_CODESHARE;AS;3356;OO;N182SY;3356;14679;SAN;San Diego, CA;13487;MSP;Minneapolis, MN;1145;1137.0;-8.0;60.0;1237.0;1738.0;5.0;1740;1743.0;3.0;0;;0;N;235;246.0;181.0;1;1532;;;;;;;;;
63202;2018-03-10;AS;AS_CODESHARE;AS;2207;QX;N421QX;2207;14057;PDX;Portland, OR;13264;MFR;Medford, OR;1529;1523.0;-6.0;7.0;1530.0;1614.0;2.0;1629;1616.0;-13.0;0;;0;N;60;53.0;44.0;1;222;;;;;;;;;
586587;2019-05-31;AS;AS_CODESHARE;AS;3277;KS;;277;11445;DUT;Unalaska, AK;10299;ANC;Anchorage, AK;925;;;;;;;1155;;;1;A;0;N;150;;;1;792;;;;;;;;;
499532;2019-03-19;AS;AS;AS;583;AS;N614AS;583;14869;SLC;Salt Lake City, UT;14747;SEA;Seattle, WA;1330;1315.0;-15.0;9.0;1324.0;1358.0;10.0;1440;1408.0;-32.0;0;;0;N;130;113.0;94.0;1;689;;;;;;;;;
566173;2019-05-14;AS;AS_CODESHARE;AS;2726;QX;N626QX;2726;14679;SAN;San Diego, CA;15016;STL;St. Louis, MO;1015;1011.0;-4.0;14.0;1025.0;1539.0;8.0;1555;1547.0;-8.0;0;;0;N;220;216.0;194.0;1;1557;;;;;;;;;
443004;2019-01-29;AS;AS_CODESHARE;AS;2390;QX;N433QX;2390;14747;SEA;Seattle, WA;11884;GEG;Spokane, WA;1630;1624.0;-6.0;10.0;1634.0;1714.0;4.0;1730;1718.0;-12.0;0;;0;N;60;54.0;40.0;1;224;;;;;;;;;
416960;2019-01-06;AS;AS;AS;1746;AS;N637VA;1746;14747;SEA;Seattle, WA;12892;LAX;Los Angeles, CA;2045;2310.0;145.0;17.0;2327.0;129.0;8.0;2327;137.0;130.0;0;;0;N;162;147.0;122.0;1;954;41.0;0.0;0.0;0.0;89.0;;;;
816856;2019-12-01;AS;AS;AS;617;AS;N297AK;617;13891;ONT;Ontario, CA;14747;SEA;Seattle, WA;940;941.0;1.0;12.0;953.0;1157.0;22.0;1225;1219.0;-6.0;0;;0;N;165;158.0;124.0;1;956;;;;;;;;;
545454;2019-04-27;AS;AS_CODESHARE;AS;3452;OO;N177SY;3452;14057;PDX;Portland, OR;11638;FAT;Fresno, CA;1005;958.0;-7.0;9.0;1007.0;1133.0;5.0;1200;1138.0;-22.0;0;;0;N;115;100.0;86.0;1;626;;;;;;;;;
480209;2019-03-03;AS;AS_CODESHARE;AS;3338;OO;N197SY;3338;14679;SAN;San Diego, CA;13871;OMA;Omaha, NE;850;847.0;-3.0;13.0;900.0;1332.0;5.0;1425;1337.0;-48.0;0;;0;N;215;170.0;152.0;1;1313;;;;;;;;;
