;fl_date;mkt_unique_carrier;branded_code_share;mkt_carrier;mkt_carrier_fl_num;op_unique_carrier;tail_num;op_carrier_fl_num;origin_airport_id;origin;origin_city_name;dest_airport_id;dest;dest_city_name;crs_dep_time;dep_time;dep_delay;taxi_out;wheels_off;wheels_on;taxi_in;crs_arr_time;arr_time;arr_delay;cancelled;cancellation_code;diverted;dup;crs_elapsed_time;actual_elapsed_time;air_time;flights;distance;carrier_delay;weather_delay;nas_delay;security_delay;late_aircraft_delay;first_dep_time;total_add_gtime;longest_add_gtime;no_name
98095;2018-10-26;F9;F9;F9;866;F9;N948FR;866;13486;MSO;Missoula, MT;11292;DEN;Denver, CO;1917;1921.0;4.0;9.0;1930.0;2050.0;8.0;2115;2058.0;-17.0;0;;0;N;118;97.0;80.0;1;679;;;;;;;;;
517748;2018-09-01;HA;HA;HA;545;HA;N493HA;545;13830;OGG;Kahului, HI;12173;HNL;Honolulu, HI;1910;1906.0;-4.0;7.0;1913.0;1936.0;8.0;1947;1944.0;-3.0;0;;0;N;37;38.0;23.0;1;100;;;;;;;;;
247522;2019-12-12;F9;F9;F9;106;F9;N705FR;106;13930;ORD;Chicago, IL;13204;MCO;Orlando, FL;827;826.0;-1.0;21.0;847.0;1203.0;6.0;1234;1209.0;-25.0;0;;0;N;187;163.0;136.0;1;1005;;;;;;;;;
152016;2019-04-13;F9;F9;F9;822;F9;N307FR;822;14635;RSW;Fort Myers, FL;15356;TTN;Trenton, NJ;1027;1052.0;25.0;19.0;1111.0;1318.0;6.0;1314;1324.0;10.0;0;;0;N;167;152.0;127.0;1;1028;;;;;;;;;
12818;2018-02-11;F9;F9;F9;1448;F9;N953FR;1448;10397;ATL;Atlanta, GA;14843;SJU;San Juan, PR;1055;1046.0;-9.0;17.0;1103.0;1514.0;6.0;1530;1520.0;-10.0;0;;0;N;215;214.0;191.0;1;1547;;;;;;;;;
489814;2018-05-18;HA;HA;HA;2;HA;N361HA;2;12173;HNL;Honolulu, HI;12892;LAX;Los Angeles, CA;1435;1430.0;-5.0;15.0;1445.0;2248.0;16.0;2300;2304.0;4.0;0;;0;N;325;334.0;303.0;1;2556;;;;;;;;;
462154;2018-01-25;HA;HA;HA;341;HA;N476HA;341;12402;ITO;Hilo, HI;12173;HNL;Honolulu, HI;958;956.0;-2.0;7.0;1003.0;1038.0;6.0;1049;1044.0;-5.0;0;;0;N;51;48.0;35.0;1;216;;;;;;;;;
516858;2018-08-29;HA;HA;HA;61;HA;N375HA;61;12892;LAX;Los Angeles, CA;12758;KOA;Kona, HI;1100;1102.0;2.0;18.0;1120.0;1340.0;5.0;1340;1345.0;5.0;0;;0;N;340;343.0;320.0;1;2504;;;;;;;;;
151649;2019-04-12;F9;F9;F9;178;F9;N332FR;178;11292;DEN;Denver, CO;11996;GSP;Greer, SC;1045;1039.0;-6.0;11.0;1050.0;1518.0;4.0;1550;1522.0;-28.0;0;;0;N;185;163.0;148.0;1;1278;;;;;;;;;
292592;2018-05-24;G4;G4;G4;1413;G4;863GA;1413;14761;SFB;Sanford, FL;14122;PIT;Pittsburgh, PA;1313;1343.0;30.0;15.0;1358.0;1544.0;8.0;1523;1552.0;29.0;0;;0;N;130;129.0;106.0;1;809;0.0;0.0;0.0;0.0;29.0;;;;
